name;path;author;date;difficulty;topics
;D:\Files\Programming\TaskGen\data\87;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\88;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\89;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\9;Ираклий Гагуа;2011;73;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\90;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\91;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\92;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\93;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\94;Ираклий Гагуа;2010;30;['комбинаторика', 'геометрия', '']
;D:\Files\Programming\TaskGen\data\95;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\96;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\97;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\98;Павел Живцов;2018;71;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\99;Павел Живцов;2018;71;['комбинаторика', '', '']
