name;path;author;date;difficulty;topics
;D:\Files\Programming\TaskGen\data\189;ЗМШ;2013;41;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\19;25 школа;2012;72;['комбинаторика', 'числа', '']
;D:\Files\Programming\TaskGen\data\190;ЗМШ;2013;41;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\191;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\192;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\193;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\194;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\195;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\196;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\197;ЗМШ гость;2017;30;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\198;ЗМШ гость;2017;40;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\199;ЗМШ гость;2017;40;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\2;Ираклий Гагуа;2011;50;['комбинаторика', 'числа', '']
;D:\Files\Programming\TaskGen\data\20;25 школа;2012;72;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\200;ЗМШ гость;2017;40;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\201;ЗМШ гость;2017;40;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\202;ЗМШ гость;2017;40;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\203;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\204;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\205;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\206;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\207;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\208;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\209;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\21;25 школа;2012;73;['комбинаторика', '', '']
;D:\Files\Programming\TaskGen\data\210;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\211;ЗМШ гость;2017;41;['логика', 'таблицы', '']
;D:\Files\Programming\TaskGen\data\212;Ираклий Гагуа;2010;42;['логика', '', '']
;D:\Files\Programming\TaskGen\data\213;Ираклий Гагуа;2010;42;['логика', '', '']
;D:\Files\Programming\TaskGen\data\214;Ираклий Гагуа;2010;42;['логика', '', '']
;D:\Files\Programming\TaskGen\data\215;Ираклий Гагуа;2010;42;['логика', '', '']
;D:\Files\Programming\TaskGen\data\216;Ираклий Гагуа;2010;42;['логика', '', '']
